name;2020
Hà Nội;98.90
Vĩnh Phúc;98.30
Bắc Ninh;98.46
Quảng Ninh;97.06
Hải Dương;98.69
Hải Phòng;98.81
Hưng Yên;98.30
Thái Bình;98.70
Hà Nam;98.60
Nam Ðịnh;98.00
Ninh Bình;97.91
Hà Giang;74.73
Cao Bằng;86.60
Bắc Kạn;91.63
Tuyên Quang;93.94
Lào Cai;83.62
Yên Bái;88.99
Thái Nguyên;97.99
Lạng Sơn;95.50
Bắc Giang;98.35
Phú Thọ;97.91
Ðiện Biên;75.58
Lai Châu;65.52
Sơn La;80.67
Hòa Bình;97.18
Thanh Hóa;96.92
Nghệ An;97.42
Hà Tĩnh;98.05
Quảng Bình;97.62
Quảng Trị;93.53
Thừa Thiên - Huế;93.09
Ðà Nẵng;98.38
Quảng Nam;95.72
Quảng Ngãi;92.97
Bình Ðịnh;97.14
Phú Yên;94.50
Khánh Hòa;94.37
Ninh Thuận;86.25
Bình Thuận;94.45
Kon Tum;90.99
Gia Lai;84.58
Đắk Lắk;88.75
Đăk Nông;93.92
Lâm Đồng;94.49
Bình Phước;94.29
Tây Ninh;93.96
Bình Dương;96.57
Đồng Nai;97.85
Bà Rịa - Vũng Tàu;97.55
TP. Hồ Chí Minh;98.74
Long An;96.65
Tiền Giang;95.08
Bến Tre;94.59
Trà Vinh;88.70
Vĩnh Long;94.47
Ðồng Tháp;92.49
An Giang;90.75
Kiên Giang;91.58
Cần Thơ;95.40
Hậu Giang;95.22
Sóc Trăng;90.08
Bạc Liêu;94.59
Cà Mau;96.24
